,State,January1_colonies,Maximum_colonies,April1_colonies,July1_colonies,state,abbrev
0,Arizona,25000.0,26000.0,19000.0,31000.0,Arizona,AZ
1,Arkansas,22000.0,22000.0,14500.0,29000.0,Arkansas,AR
2,California,1150000.0,1540000.0,1130000.0,590000.0,California,CA
3,Florida,245000.0,255000.0,250000.0,197000.0,Florida,FL
4,Georgia,134000.0,139000.0,131000.0,134000.0,Georgia,GA
5,Hawaii,17000.0,17000.0,16500.0,16500.0,Hawaii,HI
6,Idaho,164000.0,168000.0,59000.0,82000.0,Idaho,ID
7,Iowa,41000.0,44000.0,45000.0,56000.0,Iowa,IA
8,Louisiana,50000.0,52000.0,48000.0,53000.0,Louisiana,LA
9,Minnesota,39000.0,62000.0,69000.0,121000.0,Minnesota,MN
10,Mississippi,19000.0,32000.0,50000.0,16500.0,Mississippi,MS
11,Montana,35000.0,60000.0,50000.0,145000.0,Montana,MT
12,New York,26000.0,26000.0,20000.0,55000.0,New York,NY
13,North Carolina,18500.0,18500.0,16000.0,18000.0,North Carolina,NC
14,North Dakota,66000.0,101000.0,74000.0,455000.0,North Dakota,ND
15,Oregon,81000.0,89000.0,41000.0,116000.0,Oregon,OR
16,South Dakota,23000.0,29000.0,10000.0,168000.0,South Dakota,SD
17,Texas,205000.0,290000.0,305000.0,112000.0,Texas,TX
18,Washington,44000.0,90000.0,55000.0,76000.0,Washington,WA
19,Wisconsin,21000.0,29000.0,26000.0,61000.0,Wisconsin,WI
